Malware_Types_List,Blacklist_Type_Text,Address_IP,Domain_Name
,,,aromaesence.cz
,,67.222.3.111,arsseguridad.com
,,192.185.216.123,arteambientecortinas.com.br
,,23.229.151.192,arte-cuadros.com.ar
,,192.185.108.212,arturosimports.com
,,192.185.108.212,atlanticwestmanagement.com
,,157.7.107.42,atmiracle.com
,,192.185.108.212,autisminvolved.com
,,50.28.9.112,autoauctionbidder.com
,,50.63.147.89,autosurlenet.com
,,50.116.112.159,avantlog.com.br
,,5.134.116.71,awred.com
,,63.247.87.242,axisedu.com.np
,,203.124.119.1,ayanamtours.com
,,31.170.164.210,ayudacentro.esy.es
,,63.247.87.242,badri.com.np
,,5.77.63.52,balajitemplerajam.org
,,107.180.44.156,baltimoreaccidents.com
,,192.185.108.212,bangladeshbrandforum.com
,,69.89.31.161,bankingffm.com
,,43.250.248.10,bankruptcyexpertsmackay.com.au
,,92.242.132.15,banpichincha.gq
,,31.193.3.6,bedandmattressuk.co.uk
,,192.185.108.212,behavioralintegrity.com
,,148.163.99.29,beneficies.net
,,198.58.93.52,bestwordz.com
,,103.14.98.131,beyondviewstudios.com
,,66.175.58.9,bfox1.bizarrebazar.net
,,46.30.244.130,bfpontedera.it
,,107.180.50.186,bhoomart.com
,,202.22.163.23,bigbuzz.com.au
,,199.231.189.251,bikreeclub.com
,,46.4.122.252,biomir.by
,,91.201.215.220,blackops.kz
,,192.185.103.70,blancalinares.work
,,81.88.48.78,blog.atelierdimensioneverde.it
,,192.185.108.212,blowvip.com
,,160.153.16.27,bluespike.homeip.net
,,192.185.108.212,bodyshaping4u.com
,,192.185.108.212,bonchienpetcare.com
,,94.229.164.69,booking.arranadventure.com
,,192.185.136.34,boracay-apartments.com
,,91.222.8.128,boudoirphotos.uk
,,198.187.29.12,bousaada.ml
,,92.242.132.15,bpopulairesupport.info
,,203.33.171.111,brettthompson.com.au
,,131.100.50.4,brilim.net
,,50.62.23.160,brilindia.com
,,206.188.192.240,brittanyblakeinteriors.com
,,192.185.211.207,buffetmarques.com.br
,,187.45.180.235,buffetoasis.com.br
,,108.170.54.199,bumalow.com
,,192.250.229.18,buyandsellaustralia.com.au
,,192.185.108.212,buzzsetter.com
,,69.89.31.95,bycappelli.com
,,148.163.99.29,caesalpaca.net
,,131.100.50.4,caftecindustrial.com.br
,,112.78.2.181,cameradongbac.com
,,192.185.216.123,camisassocial.com
,,125.253.113.210,canhonovaland.com
,,63.247.87.242,capitalintl.com.np
,,184.168.164.1,carblegal.com
,,63.247.87.242,carlduisberg.com.np
,,184.168.27.82,carpetcleaningchevychase.com
,,,casaideas.cf
,,50.87.104.150,casaldoszimbros.com
,,192.185.140.208,castletownglass.com
,,184.168.221.14,catalystkt.com
,,192.185.108.212,catsmegastore.com
,,209.188.24.242,ccparadas.pt
,,209.188.24.242,cdf.westveil-estate.com
,,131.100.50.4,celivre.org
,,5.153.10.230,centreforislamicexcellence.com
,,131.100.50.4,cerbaro.com
,,184.168.27.81,chalktalkpro.com
,,107.180.55.19,chase-payments.com
,,184.168.221.57,chavesdeacesso.com
,,199.59.243.120,check-in-alibaba.1-ws.com
,,104.31.91.6,chiangmairesin.com
,,184.168.221.72,chiffrechristianlotlefaby.net
,,192.185.108.212,christmasassistance.org
,,5.10.68.188,christwayroyalchurch.org
,,192.185.108.212,churchvillewoodworks.com
,,92.43.23.27,cibercat.com
,,63.247.87.242,cims.com.np
,,81.177.165.132,circular.myjino.ru
,,72.47.232.212,clinicatajy.com
,,131.100.50.4,cloud002.san.psi.br
,,192.185.20.88,clubsocial.info
,,192.185.48.175,coffeehousecenter.com
,,192.185.108.212,colonialroadtrek.com
,,,comixusa.com
,,194.8.30.56,comtacto.pt
,,92.242.132.15,com-verifizierung-ssl.com
,,92.242.132.15,confirmation-account-paypal.gpdielohimsidoarjo.com
,,107.180.55.60,confirm-paypal-account.manage-limit-online-inc.com
,,131.100.50.4,controlege.com.br
,,108.167.143.137,cooksconnection.net
,,112.78.1.54,coolcat.vn
,,201.175.20.195,coopcoyutla.org.mx
,,216.97.233.15,corylange.com
,,92.242.132.15,cpro34349.publiccloud.com.br
,,200.63.98.13,cqestudio.com
,,184.154.52.138,creditanddebttrade.com
,,92.242.132.15,creditocertosantander.com.br
,,186.233.251.25,ctsaci.com.br
,,192.185.182.16,cubabientravel.com
,,192.185.108.212,culturelinkgroup.com
,,67.222.3.111,cuponesenperu.com
,,94.76.208.180,cursident.com
,,199.7.109.98,customs-form.com
,,192.185.73.5,cvbhejo.com
,,5.101.153.92,d29808px.bget.ru
,,173.236.108.101,dadandsonfloors.com
,,107.180.54.254,daddymor.com
,,209.236.113.230,dairysciencepark.org.pk
,,78.129.162.8,dancesavage.com
,,50.87.144.126,dangitravelrecharge.in
,,200.27.142.126,danielduarte.cl
,,91.239.67.99,darekgawronski.pl
,,209.141.38.230,darululoomhala.com
,,87.121.52.219,datenabgleich-amazon.de
,,186.64.115.90,decoragua.cl
,,69.89.31.84,deiroschocolate.com
,,199.83.129.182,deneancaperton.com
,,104.37.35.66,device-support-help.com
,,69.162.73.226,dicaseviagens.com.br
,,195.20.46.124,dieuhoagiaphu.tk
,,81.169.145.77,digitaldruck-und-beschriftung.de
,,131.100.50.4,dilmaimoveis.com
,,192.185.108.212,diningads.com
,,196.22.132.252,dinnersserved.co.za
,,198.57.132.25,dinosseafood.com
,,107.180.51.245,dipyourphone.com
