domain,concept,datasourcename,updtdttm,first_observed_date,total_observations,city,pedigree,confidence_score,datauploadid,segment,netspeed,referential,coordinates,govdatevett,most_recent_observation_time,total_capabilities,insrtdttm,geo_longitude,countryabbrv,commvett,active_boolean,first_observed_time,date,ipaddress,geo_latitude,commdatevett,offenderclass,network_asn,ipaddress_int,govvett,country,isp,uuid,piplelineid,most_recent_observation_date,network_class,threat_score,cog,blranking,model,network_type
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,CL,,,,,200.63.98.13,,,,,,,,,,,2008-05-15,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.154.52.138,,,,,,,,,,,2010-06-21,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.182.16,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.3.111,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,94.76.208.180,,,,,,,,,,,2008-08-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.7.109.98,,,,,,,,,,,2011-09-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.73.5,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.236.108.101,,,,,,,,,,,2010-03-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.54.254,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.236.113.230,,,,,,,,,,,2010-03-01,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,78.129.162.8,,,,,,,,,,,2007-04-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.144.126,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,CL,,,,,00.27.142.126,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,09.141.38.230,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BG,,,,,87.121.52.219,,,,,,,,,,,2005-07-12,,,,,,
,,,,,,,,,,,,,,,,,,,CL,,,,,186.64.115.90,,,,,,,,,,,2012-11-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.89.31.84,,,,,,,,,,,2006-10-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.83.129.182,,,,,,,,,,,2011-01-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,104.37.35.66,,,,,,,,,,,2014-06-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.162.73.226,,,,,,,,,,,2008-06-27,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,195.20.46.124,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,1.169.145.77,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,ZA,,,,,196.22.132.252,,,,,,,,,,,2005-06-08,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.57.132.25,,,,,,,,,,,2012-07-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.51.245,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.254.235.131,,,,,,,,,,,2013-06-11,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,77.79.239.196,,,,,,,,,,,2007-03-14,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,88.198.59.7,,,,,,,,,,,2005-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.250.229.18,,,,,,,,,,,2013-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.47.225,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.195.124.142,,,,,,,,,,,2010-07-01,,,,,,
,,,,,,,,,,,,,,,,,,,RS,,,,,46.22.145.58,,,,,,,,,,,2010-11-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.195.124.109,,,,,,,,,,,2010-07-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.254.82.241,,,,,,,,,,,2010-10-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.148.192,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,148.251.20.89,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.54.175,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,74.85.244.2,,,,,,,,,,,2007-05-25,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.13.193,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,IN,,,,,119.18.48.37,,,,,,,,,,,2011-02-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.158.172,,,,,,,,,,,2008-02-04,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,23.229.134.224,,,,,,,,,,,2013-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.195.146.189,,,,,,,,,,,2011-09-15,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,5.153.10.230,,,,,,,,,,,2012-07-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.7.109.82,,,,,,,,,,,2011-09-22,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,95.110.234.179,,,,,,,,,,,2008-12-18,,,,,,
,,,,,,,,,,,,,,,,,,,CA,,,,,209.151.129.175,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,UA,,,,,176.114.1.15,,,,,,,,,,,2012-04-10,,,,,,
,,,,,,,,,,,,,,,,,,,SK,,,,,92.240.253.107,,,,,,,,,,,2007-11-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.232.249.212,,,,,,,,,,,2013-05-16,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.17.207,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,207.210.203.123,,,,,,,,,,,2005-04-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,207.210.203.123,,,,,,,,,,,2005-04-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,207.210.203.123,,,,,,,,,,,2005-04-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.116.112.157,,,,,,,,,,,2011-09-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,72.47.228.108,,,,,,,,,,,2007-05-30,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.184.63,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,149.3.144.212,,,,,,,,,,,2011-07-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.51.96,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,200.219.245.141,,,,,,,,,,,2000-09-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,143.95.41.146,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.126,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.89.31.81,,,,,,,,,,,2006-10-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.179.102,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.83.90,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.20.224.220,,,,,,,,,,,2013-04-08,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,176.9.41.162,,,,,,,,,,,2011-05-17,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.225.140.60,,,,,,,,,,,2007-11-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.225.140.60,,,,,,,,,,,2007-11-26,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,109.95.156.4,,,,,,,,,,,2010-01-04,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.236.156.169,,,,,,,,,,,2010-03-30,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.99.40.222,,,,,,,,,,,2000-08-23,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,186.202.127.109,,,,,,,,,,,2010-04-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.62.56.87,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,191.252.4.20,,,,,,,,,,,2013-12-20,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,CH,,,,,194.150.248.52,,,,,,,,,,,2004-07-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,216.172.168.186,,,,,,,,,,,2011-06-28,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,125.214.76.151,,,,,,,,,,,2008-11-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.24.242,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,AT,,,,,81.19.145.30,,,,,,,,,,,2005-11-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,CZ,,,,,81.31.45.77,,,,,,,,,,,2002-05-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,64.64.9.25,,,,,,,,,,,2010-03-26,,,,,,
,,,,,,,,,,,,,,,,,,,KZ,,,,,195.210.46.199,,,,,,,,,,,2009-01-16,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,68.171.217.250,,,,,,,,,,,2009-02-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.186.250.41,,,,,,,,,,,2013-08-02,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.179.102,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,5.9.114.125,,,,,,,,,,,2012-04-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.124,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,HU,,,,,87.229.98.18,,,,,,,,,,,2005-07-19,,,,,,
,,,,,,,,,,,,,,,,,,,HU,,,,,87.229.26.126,,,,,,,,,,,2005-07-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.47.225,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,68.178.254.145,,,,,,,,,,,2005-04-12,,,,,,
,,,,,,,,,,,,,,,,,,,IL,,,,,149.126.74.20,,,,,,,,,,,2011-07-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.51.96,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.54.182,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,212.113.133.56,,,,,,,,,,,2008-07-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.39,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.89.31.238,,,,,,,,,,,2006-10-02,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.99.40.223,,,,,,,,,,,2000-08-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.152.104,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,125.253.113.210,,,,,,,,,,,2010-12-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,125.253.113.210,,,,,,,,,,,2010-12-29,,,,,,
,,,,,,,,,,,,,,,,,,,CO,,,,,190.8.176.186,,,,,,,,,,,2011-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.58.92.228,,,,,,,,,,,2012-08-09,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,160.153.162.16,,,,,,,,,,,2011-09-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.126,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.199.120.43,,,,,,,,,,,2010-09-29,,,,,,
,,,,,,,,,,,,,,,,,,,FR,,,,,94.247.31.250,,,,,,,,,,,2008-11-21,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,202.22.163.23,,,,,,,,,,,2000-12-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,216.239.138.159,,,,,,,,,,,2000-11-29,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,62.141.48.252,,,,,,,,,,,2002-08-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,70.40.200.242,,,,,,,,,,,2008-10-03,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,185.116.212.70,,,,,,,,,,,2015-09-10,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,212.113.133.235,,,,,,,,,,,2008-07-02,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,78.129.155.106,,,,,,,,,,,2007-04-18,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,5.77.63.52,,,,,,,,,,,2012-06-13,,,,,,
,,,,,,,,,,,,,,,,,,,MY,,,,,112.137.167.245,,,,,,,,,,,2009-02-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.184.43,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.95.41.121,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.57.1,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,PA,,,,,181.224.147.134,,,,,,,,,,,2012-10-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,166.62.80.69,,,,,,,,,,,2012-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.58.93.56,,,,,,,,,,,2012-08-09,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,6.44.171.173,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.118.4,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.59.243.120,,,,,,,,,,,2010-12-09,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.51.96,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,218.108.15.66,,,,,,,,,,,2002-03-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.79.230,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,138.128.160.106,,,,,,,,,,,2014-05-16,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,160.153.162.4,,,,,,,,,,,2011-09-01,,,,,,
,,,,,,,,,,,,,,,,,,,IN,,,,,103.25.130.206,,,,,,,,,,,2013-05-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,166.62.44.105,,,,,,,,,,,2012-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.162.73.226,,,,,,,,,,,2008-06-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,162.144.123.108,,,,,,,,,,,2013-03-01,,,,,,
,,,,,,,,,,,,,,,,,,,HU,,,,,85.75.192.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.123,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.213.99,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.223.169,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,27.121.64.126,,,,,,,,,,,2010-09-06,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,188.121.58.1,,,,,,,,,,,2009-05-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.152.104,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.254.28.124,,,,,,,,,,,2010-10-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,74.220.207.181,,,,,,,,,,,2007-01-09,,,,,,
,,,,,,,,,,,,,,,,,,,ID,,,,,103.28.12.140,,,,,,,,,,,2011-12-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,78.46.100.176,,,,,,,,,,,2007-04-16,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,TW,,,,,61.63.20.118,,,,,,,,,,,2001-02-21,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.160.158.97,,,,,,,,,,,2011-10-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.64.68.185,,,,,,,,,,,2006-08-04,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,87.117.242.72,,,,,,,,,,,2005-09-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.51.96,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,17.34.136.53,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.122,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.59.243.120,,,,,,,,,,,2010-12-09,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,27.121.64.141,,,,,,,,,,,2010-09-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.199.120.43,,,,,,,,,,,2010-09-29,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,MY,,,,,202.75.53.11,,,,,,,,,,,2004-07-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.144.32,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,5.77.63.52,,,,,,,,,,,2012-06-13,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,166.62.116.88,,,,,,,,,,,2012-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,5.77.63.52,,,,,,,,,,,2012-06-13,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.13.20,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,187.45.180.235,,,,,,,,,,,2009-08-06,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,203.170.82.97,,,,,,,,,,,2006-04-19,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,79.170.44.141,,,,,,,,,,,2007-09-24,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,176.32.230.26,,,,,,,,,,,2011-05-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.13.189,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.211.207,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,95.154.213.98,,,,,,,,,,,2009-02-25,,,,,,
,,,,,,,,,,,,,,,,,,,PA,,,,,181.224.137.209,,,,,,,,,,,2012-10-25,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,212.172.221.23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.44.124,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,144.76.101.170,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.201.238.128,,,,,,,,,,,2009-09-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.59.141.132,,,,,,,,,,,2004-07-27,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,125.253.113.210,,,,,,,,,,,2010-12-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,104.27.164.99,,,,,,,,,,,2014-03-28,,,,,,
,,,,,,,,,,,,,,,,,,,ID,,,,,103.28.12.140,,,,,,,,,,,2011-12-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.201.243.128,,,,,,,,,,,2009-09-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.232.219.76,,,,,,,,,,,2013-05-16,,,,,,
,,,,,,,,,,,,,,,,,,,RU,,,,,80.87.199.109,,,,,,,,,,,2001-08-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.227.198.201,,,,,,,,,,,2008-01-23,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
