domain,concept,datasourcename,updtdttm,first_observed_date,total_observations,city,pedigree,confidence_score,datauploadid,segment,netspeed,referential,coordinates,govdatevett,most_recent_observation_time,total_capabilities,insrtdttm,geo_longitude,countryabbrv,commvett,active_boolean,first_observed_time,date,ipaddress,geo_latitude,commdatevett,offenderclass,network_asn,ipaddress_int,govvett,country,isp,uuid,piplelineid,most_recent_observation_date,network_class,threat_score,cog,blranking,model,network_type
,,,,,,,,,,,,,,,,,,,HK,,,,,03.62.148.31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,118.193.189.56,,,,,,,,,,,2007-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,118.193.189.56,,,,,,,,,,,2007-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,HK,,,,,118.99.23.187,,,,,,,,,,,2009-10-23,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.210.199.209,,,,,,,,,,,2012-12-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.19,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,207.148.248.143,,,,,,,,,,,2002-05-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,207.148.248.143,,,,,,,,,,,2002-05-02,,,,,,
,,,,,,,,,,,,,,,,,,,DK,,,,,46.30.212.13,,,,,,,,,,,2010-09-08,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,75.126.211.188,,,,,,,,,,,2006-05-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.24,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,8.143.148.173,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.135.214.28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.8,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.55,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.47.225,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,8.143.148.173,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TH,,,,,1.19.246.46,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,1.129.33.149,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,72.52.4.90,,,,,,,,,,,2005-07-11,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,12.227.213.125,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,23.236.62.147,,,,,,,,,,,2013-10-21,,,,,,
,,,,,,,,,,,,,,,,,,,ES,,,,,77.240.123.180,,,,,,,,,,,2007-01-11,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,178.238.137.166,,,,,,,,,,,2010-07-16,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,162.144.35.222,,,,,,,,,,,2013-03-01,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,195.20.55.112,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,89.161.243.24,,,,,,,,,,,2006-02-15,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
